"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US06","California","39356104","*****",
"1400000US06001400100","Census Tract 4001; Alameda County; California","3269","452",
"1400000US06001400200","Census Tract 4002; Alameda County; California","2147","201",
"1400000US06001400300","Census Tract 4003; Alameda County; California","5619","571",
"1400000US06001400400","Census Tract 4004; Alameda County; California","4278","598",
"1400000US06001400500","Census Tract 4005; Alameda County; California","3949","737",
"1400000US06001400600","Census Tract 4006; Alameda County; California","2058","301",
"1400000US06001400700","Census Tract 4007; Alameda County; California","4758","572",
"1400000US06001400800","Census Tract 4008; Alameda County; California","4335","593",
"1400000US06001400900","Census Tract 4009; Alameda County; California","2844","496",
"1400000US06001401000","Census Tract 4010; Alameda County; California","6277","896",
"1400000US06001401100","Census Tract 4011; Alameda County; California","5537","544",
"1400000US06001401200","Census Tract 4012; Alameda County; California","2994","329",
"1400000US06001401300","Census Tract 4013; Alameda County; California","4608","404",
"1400000US06001401400","Census Tract 4014; Alameda County; California","5392","777",
"1400000US06001401500","Census Tract 4015; Alameda County; California","3035","613",
"1400000US06001401600","Census Tract 4016; Alameda County; California","2403","385",
"1400000US06001401700","Census Tract 4017; Alameda County; California","3276","493",
"1400000US06001401800","Census Tract 4018; Alameda County; California","1709","273",
"1400000US06001402200","Census Tract 4022; Alameda County; California","2337","393",
"1400000US06001402400","Census Tract 4024; Alameda County; California","2623","532",
"1400000US06001402500","Census Tract 4025; Alameda County; California","2010","363",
"1400000US06001402600","Census Tract 4026; Alameda County; California","1300","263",
"1400000US06001402700","Census Tract 4027; Alameda County; California","2039","376",
"1400000US06001402801","Census Tract 4028.01; Alameda County; California","3254","626",
"1400000US06001402802","Census Tract 4028.02; Alameda County; California","1430","248",
"1400000US06001402900","Census Tract 4029; Alameda County; California","1828","259",
"1400000US06001403000","Census Tract 4030; Alameda County; California","2897","466",
"1400000US06001403100","Census Tract 4031; Alameda County; California","1941","284",
"1400000US06001403301","Census Tract 4033.01; Alameda County; California","1830","382",
"1400000US06001403302","Census Tract 4033.02; Alameda County; California","2556","318",
"1400000US06001403401","Census Tract 4034.01; Alameda County; California","2717","387",
"1400000US06001403402","Census Tract 4034.02; Alameda County; California","1134","175",
"1400000US06001403501","Census Tract 4035.01; Alameda County; California","4904","684",
"1400000US06001403502","Census Tract 4035.02; Alameda County; California","1919","262",
"1400000US06001403600","Census Tract 4036; Alameda County; California","5056","687",
"1400000US06001403701","Census Tract 4037.01; Alameda County; California","2909","348",
"1400000US06001403702","Census Tract 4037.02; Alameda County; California","2238","262",
"1400000US06001403800","Census Tract 4038; Alameda County; California","4008","438",
"1400000US06001403900","Census Tract 4039; Alameda County; California","3883","701",
"1400000US06001404000","Census Tract 4040; Alameda County; California","3145","395",
"1400000US06001404101","Census Tract 4041.01; Alameda County; California","3208","349",
"1400000US06001404102","Census Tract 4041.02; Alameda County; California","2701","352",
"1400000US06001404200","Census Tract 4042; Alameda County; California","3894","388",
"1400000US06001404300","Census Tract 4043; Alameda County; California","3587","368",
"1400000US06001404400","Census Tract 4044; Alameda County; California","5823","604",
"1400000US06001404501","Census Tract 4045.01; Alameda County; California","1820","205",
"1400000US06001404502","Census Tract 4045.02; Alameda County; California","6110","776",
"1400000US06001404600","Census Tract 4046; Alameda County; California","4934","605",
"1400000US06001404700","Census Tract 4047; Alameda County; California","2187","262",
"1400000US06001404800","Census Tract 4048; Alameda County; California","2744","404",
"1400000US06001404900","Census Tract 4049; Alameda County; California","4669","462",
"1400000US06001405000","Census Tract 4050; Alameda County; California","3665","329",
"1400000US06001405100","Census Tract 4051; Alameda County; California","4508","405",
"1400000US06001405200","Census Tract 4052; Alameda County; California","4913","1030",
"1400000US06001405301","Census Tract 4053.01; Alameda County; California","2872","474",
"1400000US06001405302","Census Tract 4053.02; Alameda County; California","2559","347",
"1400000US06001405401","Census Tract 4054.01; Alameda County; California","3541","471",
"1400000US06001405402","Census Tract 4054.02; Alameda County; California","3673","638",
"1400000US06001405500","Census Tract 4055; Alameda County; California","3537","503",
"1400000US06001405600","Census Tract 4056; Alameda County; California","3044","524",
"1400000US06001405700","Census Tract 4057; Alameda County; California","3522","549",
"1400000US06001405800","Census Tract 4058; Alameda County; California","4182","682",
"1400000US06001405901","Census Tract 4059.01; Alameda County; California","3757","624",
"1400000US06001405902","Census Tract 4059.02; Alameda County; California","3138","431",
"1400000US06001406000","Census Tract 4060; Alameda County; California","4735","518",
"1400000US06001406100","Census Tract 4061; Alameda County; California","4939","600",
"1400000US06001406201","Census Tract 4062.01; Alameda County; California","5072","747",
"1400000US06001406202","Census Tract 4062.02; Alameda County; California","4733","671",
"1400000US06001406300","Census Tract 4063; Alameda County; California","4556","743",
