"GEO_ID","NAME","B23025_001E","B23025_001M","B23025_002E","B23025_002M","B23025_003E","B23025_003M","B23025_004E","B23025_004M","B23025_005E","B23025_005M","B23025_006E","B23025_006M","B23025_007E","B23025_007M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!In labor force:","Margin of Error!!Total:!!In labor force:","Estimate!!Total:!!In labor force:!!Civilian labor force:","Margin of Error!!Total:!!In labor force:!!Civilian labor force:","Estimate!!Total:!!In labor force:!!Civilian labor force:!!Employed","Margin of Error!!Total:!!In labor force:!!Civilian labor force:!!Employed","Estimate!!Total:!!In labor force:!!Civilian labor force:!!Unemployed","Margin of Error!!Total:!!In labor force:!!Civilian labor force:!!Unemployed","Estimate!!Total:!!In labor force:!!Armed Forces","Margin of Error!!Total:!!In labor force:!!Armed Forces","Estimate!!Total:!!Not in labor force","Margin of Error!!Total:!!Not in labor force",
"1400000US06037101110","Census Tract 1011.10, Los Angeles County, California","3356","353","2099","269","2099","269","1989","260","110","63","0","13","1257","257",
"1400000US06037101122","Census Tract 1011.22, Los Angeles County, California","3548","832","2287","528","2287","528","2077","501","210","112","0","13","1261","393",
"1400000US06037101220","Census Tract 1012.20, Los Angeles County, California","3123","392","2017","382","2017","382","1792","346","225","112","0","13","1106","202",
"1400000US06037101221","Census Tract 1012.21, Los Angeles County, California","3216","634","1744","332","1744","332","1631","325","113","58","0","13","1472","567",
"1400000US06037101222","Census Tract 1012.22, Los Angeles County, California","2197","425","1402","325","1402","325","1249","327","153","161","0","13","795","277",
"1400000US06037101300","Census Tract 1013, Los Angeles County, California","3339","435","1782","280","1782","280","1695","268","87","50","0","13","1557","342",
"1400000US06037101400","Census Tract 1014, Los Angeles County, California","2831","441","1734","363","1734","363","1620","362","114","65","0","13","1097","216",
"1400000US06037102103","Census Tract 1021.03, Los Angeles County, California","1451","254","918","173","918","173","845","169","73","69","0","13","533","128",
"1400000US06037102104","Census Tract 1021.04, Los Angeles County, California","3538","509","2013","299","2013","299","1862","254","151","110","0","13","1525","359",
"1400000US06037102105","Census Tract 1021.05, Los Angeles County, California","1506","238","1164","233","1164","233","1087","213","77","47","0","13","342","96",
"1400000US06037102107","Census Tract 1021.07, Los Angeles County, California","3536","607","2093","510","2093","510","1804","303","289","256","0","13","1443","215",
"1400000US06037103101","Census Tract 1031.01, Los Angeles County, California","2068","273","1457","220","1457","220","1350","202","107","79","0","13","611","134",
"1400000US06037103102","Census Tract 1031.02, Los Angeles County, California","4137","487","2616","293","2616","293","2362","288","254","137","0","13","1521","336",
"1400000US06037103201","Census Tract 1032.01, Los Angeles County, California","3356","396","2171","326","2171","326","2063","352","108","93","0","13","1185","331",
"1400000US06037103202","Census Tract 1032.02, Los Angeles County, California","2115","963","1184","434","1184","434","1145","438","39","42","0","13","931","609",
"1400000US06037103300","Census Tract 1033, Los Angeles County, California","3064","387","1781","244","1781","244","1671","224","110","85","0","13","1283","246",
"1400000US06037103401","Census Tract 1034.01, Los Angeles County, California","2280","410","1516","402","1516","402","1401","387","115","120","0","13","764","187",
"1400000US06037103402","Census Tract 1034.02, Los Angeles County, California","3152","511","2120","472","2120","472","2042","471","78","103","0","13","1032","277",
"1400000US06037104103","Census Tract 1041.03, Los Angeles County, California","3271","826","1982","686","1982","686","1883","595","99","103","0","13","1289","398",
"1400000US06037104105","Census Tract 1041.05, Los Angeles County, California","4505","742","2626","373","2626","373","2366","331","260","113","0","19","1879","517",
"1400000US06037104108","Census Tract 1041.08, Los Angeles County, California","4246","424","2860","415","2860","415","2658","399","202","126","0","19","1386","245",
"1400000US06037104124","Census Tract 1041.24, Los Angeles County, California","3161","464","1840","353","1840","353","1604","285","236","207","0","13","1321","237",
"1400000US06037104201","Census Tract 1042.01, Los Angeles County, California","3778","545","2228","342","2228","342","2136","323","92","57","0","13","1550","324",
"1400000US06037104203","Census Tract 1042.03, Los Angeles County, California","4076","548","2577","397","2577","397","2432","379","145","99","0","19","1499","281",
"1400000US06037104204","Census Tract 1042.04, Los Angeles County, California","2946","378","1623","217","1623","217","1529","214","94","46","0","13","1323","271",
